2013,April,/poetsorg/poem/april-2,Algernon Charles Swinburne,Love
2013,A Billet Doux,/poetsorg/poem/billet-doux,George Moses Horton,Love
2013,"A Sonnet from the Archive of Love's Failures, Volumes 1-3.5 Million",/poetsorg/poem/sonnet-archive-loves-failures-volumes-1-35-million,Anne Boyer,Love
2013,A Love,/poetsorg/poem/love-2,Lorenzo Calogero,Love
2012,A Ditty,/poetsorg/poem/ditty,Sir Philip Sidney,Love
2012,Self-Portrait as Letter Addressed to Self,/poetsorg/poem/self-portrait-letter-addressed-self,J. Michael Martinez,Love
2012,The Moon in Your Breath,/poetsorg/poem/moon-your-breath,Amy King,Love
2013,Everything Is Going To,/poetsorg/poem/everything-going,Chris Hosea,Love
2013,Variation on a Theme,/poetsorg/poem/variation-theme,W. S. Merwin,Love
2012,Black Glass Soliloquy,/poetsorg/poem/black-glass-soliloquy,Ben Mirov,Love
2012,To Last,/poetsorg/poem/last-0,D. A. Powell,Love
2012,Economy,/poetsorg/poem/economy,Sandra Beasley,Love
2012,La Pelona as Birdwoman [excerpt],/poetsorg/poem/la-pelona-birdwoman-excerpt,Rigoberto González,Love
2012,"Sweet Double, Talk-Talk [iv.]",/poetsorg/poem/sweet-double-talk-talk-iv,Catherine Barnett,Love
2012,The Other Side of the River,/poetsorg/poem/other-side-river,Xi Chuan,Love
2011,Elegy in Joy [excerpt],/poetsorg/poem/elegy-joy-excerpt,Muriel Rukeyser,Love
2011,Miss Sally on Love,/poetsorg/poem/miss-sally-love,Shara McCallum,Love
2012,Elegy for my husband,/poetsorg/poem/elegy-my-husband,Toi Derricotte,Love
2012,"Darling, You Are the World's Fresh Ornament",/poetsorg/poem/darling-you-are-worlds-fresh-ornament,Laura Cronk,Love
2011,Magnolia,/poetsorg/poem/magnolia,Gerald Stern,Love
2011,In a Beautiful Country,/poetsorg/poem/beautiful-country,Kevin Prufer,Love
2011,Dear Tiara,/poetsorg/poem/dear-tiara,Sean Thomas Dougherty,Love
2010,Provisional,/poetsorg/poem/provisional,Catherine Bowman,Love
2010,The Love-Hat Relationship,/poetsorg/poem/love-hat-relationship,Aaron Belz,Love
2010,All the Whiskey in Heaven,/poetsorg/poem/all-whiskey-heaven,Charles Bernstein,Love
2010,Magdalene Poem,/poetsorg/poem/magdalene-poem,John Taggart,Love
2010,If My Voice Is Not Reaching You,/poetsorg/poem/if-my-voice-not-reaching-you,Afzal Ahmed Syed,Love
2010,Health,/poetsorg/poem/health,Rafael Campo,Love
2010,Dead Straight,/poetsorg/poem/dead-straight,Olive Senior,Love
2010,Postcard to I. Kaminsky from a Dream at the Edge of the Sea,/poetsorg/poem/postcard-i-kaminsky-dream-edge-sea,Cecilia Woloch,Love
2010,Dependants,/poetsorg/poem/dependants,Paul Farley,Love
2010,Text Messages,/poetsorg/poem/text-messages,Jordan Davis,Love
2010,Completely Friday,/poetsorg/poem/completely-friday,Luis García Montero,Love
2010,My Heart,/poetsorg/poem/my-heart,Kim Addonizio,Love
2009,"from ""A Hemingway Reader"": The Sun Also Also Rises",/poetsorg/poem/hemingway-reader-sun-also-also-rises,Robert Fitterman,Love
2009,So as Not to Distort,/poetsorg/poem/so-not-distort,Hiromi Itō,Love
2009,The Ecstasy,/poetsorg/poem/ecstasy,Phillip Lopate,Love
2010,Hey You,/poetsorg/poem/hey-you,Adrian Blevins,Love
2009,True Love,/poetsorg/poem/true-love-0,Barry Gifford,Love
2009,The Ripple Effect,/poetsorg/poem/ripple-effect,Jamey Dunham,Love
2009,Snowball Journal,/poetsorg/poem/snowball-journal,Phillip Lopate,Love
